date,stk_cd,isinCd,itmsNm,mrktCtg,close,vs,fltRt,mkp,hipr,lopr,volume,amount,lstgStCnt,mrktTotAmt,open_pric,high_pric,low_pric,close_pric,pred_rt,flu_rt,trde_qty,amt_mn,crd_rt,ind,orgn,for_qty,frgn,prm,for_rt,for_poss,for_wght,for_netprps,orgn_netprps,ind_netprps,crd_remn_rt,ma5,ma20,ma60,macd,macd_sig,macd_hist,poc_price,target,reg_return_1d,reg_mdd_1d,class_win_1d,class_lose_1d,reg_return_3d,reg_mdd_3d,class_win_3d,class_lose_3d,reg_return_5d,reg_mdd_5d,class_win_5d,class_lose_5d,reg_return_10d,reg_mdd_10d,class_win_10d,class_lose_10d
20211130,80,KR7000080002,하이트진로,KOSPI,29000,-1300,-4.29,30500,30600,28850,428352,12682660650,70133611,2033874719000,30500,30600,28850,-29000,-1300,-4.29,428352,12683,1.5,+108971,--45749,--76586,--48359,--65980,4.51,4.51,4.51,--76586,--45749,+108971,1.5,30960.0,32263.636363636364,32263.636363636364,-958.5586030465674,-494.5031727985179,-464.05543024804956,32700.0,0,0.01379310344827589,0.01379310344827589,0,0,0.05517241379310356,0.01379310344827589,1,0,0.07586206896551717,0.01379310344827589,1,0,0.07586206896551717,0.01379310344827589,1,0
20211201,80,KR7000080002,하이트진로,KOSPI,29400,400,1.38,28850,29400,28750,279911,8144750500,70133611,2061928163400,28850,29400,28750,29400,400,1.38,279911,8145,1.45,+15663,--56718,+29019,+33586,+46272,4.55,4.55,4.55,+29019,--56718,+15663,1.45,30300.0,32025.0,32025.0,-1089.9368157057434,-613.589901379963,-476.3469143257804,32670.0,-1,0.005102040816326481,0.005102040816326481,0,0,0.04081632653061229,0.005102040816326481,0,0,0.061224489795918435,0.005102040816326481,1,0,0.061224489795918435,0.005102040816326481,1,0
20211202,80,KR7000080002,하이트진로,KOSPI,29550,150,0.51,28900,29650,28800,256216,7526947000,70133611,2072448205050,28900,29650,28800,29550,150,0.51,256216,7527,1.39,+40224,--93011,+17250,+16523,+41854,4.58,4.58,4.58,+17250,--93011,+40224,1.39,29840.0,31834.615384615383,31834.615384615383,-1168.4817194620118,-724.5682649963728,-443.913454465639,32670.0,-1,0.035532994923857864,0.035532994923857864,0,0,0.055837563451776706,0.035532994923857864,1,0,0.055837563451776706,0.035532994923857864,1,0,0.055837563451776706,0.01861252115059231,1,0
20211203,80,KR7000080002,하이트진로,KOSPI,30600,1050,3.55,29650,30900,29600,300291,9146723700,70133611,2146088496600,29650,30900,29600,30600,1050,3.55,300291,9147,1.38,--15152,+15542,--69462,--4451,--29737,4.48,4.48,4.48,--69462,+15542,--15152,1.38,29770.0,31746.428571428572,31746.428571428572,-1132.9430347187845,-806.2432189408552,-326.6998157779293,32670.0,-1,0.0,0.0,0,0,0.019607843137254832,0.0,0,0,0.019607843137254832,0.0,0,0,0.019607843137254832,-0.02450980392156865,0,0
20211206,80,KR7000080002,하이트진로,KOSPI,30600,0,0.0,30400,30700,30000,119121,3622419050,70133611,2146088496600,30400,30700,30000,30600,0,0.0,119121,3622,1.39,+14558,--17101,+12795,--2802,--2515,4.5,4.5,4.5,+12795,--17101,+14558,1.39,29830.0,31670.0,31670.0,-1092.1883041111978,-863.4322359749237,-228.75606813627405,32670.0,-1,0.019607843137254832,0.019607843137254832,0,0,0.019607843137254832,0.0,0,0,0.019607843137254832,0.0,0,0,0.019607843137254832,-0.02777777777777779,0,0
20211207,80,KR7000080002,하이트진로,KOSPI,31200,600,1.96,30800,31200,30550,154998,4794930150,70133611,2188168663200,30800,31200,30550,31200,600,1.96,154998,4795,1.39,--4525,--6345,+10812,+2369,+8704,4.51,4.51,4.51,+10812,--6345,--4525,1.39,30270.0,31640.625,31640.625,-999.9481213945801,-890.7354130588551,-109.21270833572498,32670.0,-1,-0.019230769230769273,-0.019230769230769273,0,0,-0.0064102564102563875,-0.019230769230769273,0,0,-0.0064102564102563875,-0.02564102564102566,0,0,-0.0064102564102563875,-0.04647435897435892,0,1
20211208,80,KR7000080002,하이트진로,KOSPI,30600,-600,-1.92,31350,31400,30500,230101,7113994600,70133611,2146088496600,31350,31400,30500,-30600,-600,-1.92,230101,7114,1.39,+68909,--37389,--49001,--12104,--28946,4.44,4.44,4.44,--49001,--37389,+68909,1.39,30510.0,31579.41176470588,31579.41176470588,-964.1479996491471,-905.4179303769135,-58.73006927223355,30430.0,0,0.013071895424836555,0.013071895424836555,0,0,0.013071895424836555,0.0,0,0,0.013071895424836555,-0.009803921568627416,0,0,0.013071895424836555,-0.02777777777777779,0,0
20211209,80,KR7000080002,하이트진로,KOSPI,31000,400,1.31,30600,31000,30450,193717,5985088900,70133611,2174141941000,30600,31000,30450,31000,400,1.31,193717,5985,1.39,--25952,+23142,+2786,+11093,+16835,4.44,4.44,4.44,+2786,+23142,--25952,1.39,30800.0,31547.222222222223,31547.222222222223,-893.2031977158404,-902.974983844699,9.771786128858594,30430.0,2,-0.012903225806451646,-0.012903225806451646,0,0,-0.011290322580645107,-0.01935483870967747,0,0,-0.011290322580645107,-0.029032258064516148,0,0,-0.011290322580645107,-0.040322580645161255,0,1
20211210,80,KR7000080002,하이트진로,KOSPI,30600,-400,-1.29,30800,30900,30550,143284,4391213950,70133611,2146088496600,30800,30900,30550,-30600,-400,-1.29,143284,4391,1.37,+46675,--63640,+16868,+15066,--21042,4.47,4.47,4.47,+16868,--63640,+46675,1.37,30800.0,31497.36842105263,31497.36842105263,-859.3495415263169,-894.2498953810226,34.90035385470571,30430.0,-1,0.0016339869281045694,0.0016339869281045694,0,0,0.0016339869281045694,-0.009803921568627416,0,0,0.0016339869281045694,-0.02450980392156865,0,0,0.0016339869281045694,-0.02777777777777779,0,0
20211213,80,KR7000080002,하이트진로,KOSPI,30650,50,0.16,30550,30950,30500,114173,3504561150,70133611,2149595177150,30550,30950,30500,30650,50,0.16,114173,3505,1.35,+10640,--5015,--17297,--5358,--11459,4.44,4.44,4.44,--17297,--5015,+10640,1.35,30810.0,31455.0,31455.0,-819.0442605627177,-879.2087684173616,60.164507854643944,30430.0,2,-0.00815660685154973,-0.00815660685154973,0,0,-0.00815660685154973,-0.01794453507340943,0,0,-0.00815660685154973,-0.029363784665579096,0,0,-0.0032626427406199365,-0.029363784665579096,0,0
20211214,80,KR7000080002,하이트진로,KOSPI,30400,-250,-0.82,30500,30600,30250,145080,4407972050,70133611,2132061774400,30500,30600,30250,-30400,-250,-0.82,145080,4408,1.34,+51362,--34423,+1204,--22544,--8752,4.45,4.45,4.45,+1204,--34423,+51362,1.34,30650.0,31265.0,31404.761904761905,-798.0752311973556,-862.9820609733605,64.90682977600488,30355.0,3,-0.003289473684210509,-0.003289473684210509,0,0,-0.003289473684210509,-0.018092105263157854,0,0,-0.003289473684210509,-0.021381578947368474,0,0,0.014802631578947345,-0.021381578947368474,0,0
20211215,80,KR7000080002,하이트진로,KOSPI,30300,-100,-0.33,30200,30350,29900,240886,7244724600,70133611,2125048413300,30200,30350,29900,-30300,-100,-0.33,240886,7245,1.35,+53980,--103802,+67750,+41005,+38638,4.54,4.54,4.54,+67750,--103802,+53980,1.35,30590.0,31105.0,31354.545454545456,-780.5288380342135,-846.4914163855311,65.96257835131757,30325.0,3,-0.0066006600660065695,-0.0066006600660065695,0,0,-0.0066006600660065695,-0.018151815181518205,0,0,0.0,-0.018151815181518205,0,0,0.018151815181518094,-0.018151815181518205,0,0
20211216,80,KR7000080002,하이트진로,KOSPI,30100,-200,-0.66,30250,30300,29850,176139,5285978300,70133611,2111021691100,30250,30300,29850,-30100,-200,-0.66,176139,5286,1.36,+47481,--59935,+26476,+8244,+7404,4.58,4.58,4.58,+26476,--59935,+47481,1.36,30410.0,30967.5,31300.0,-773.8411643248037,-831.9613659733857,58.120201648582,30325.0,3,-0.00830564784053156,-0.00830564784053156,0,0,-0.00830564784053156,-0.011627906976744207,0,0,0.006644518272425293,-0.011627906976744207,0,0,0.024916943521594792,-0.011627906976744207,0,0
20211217,80,KR7000080002,하이트진로,KOSPI,29850,-250,-0.83,29800,30100,29800,242569,7253963200,70133611,2093488288350,29800,30100,29800,-29850,-250,-0.83,242569,7254,1.35,+89178,--67826,--48771,--26506,--17863,4.51,4.51,4.51,--48771,--67826,+89178,1.35,30260.0,30782.5,31239.583333333332,-779.7258511413675,-821.5142630069821,41.78841186561465,30235.0,3,-0.00335008375209378,-0.00335008375209378,0,0,0.015075376884422065,-0.00335008375209378,0,0,0.0201005025125629,-0.00335008375209378,0,0,0.03350083752093802,-0.00335008375209378,0,0
20211220,80,KR7000080002,하이트진로,KOSPI,29750,-100,-0.34,29750,29950,29600,130227,3874702850,70133611,2086474927250,29750,29950,29600,-29750,-100,-0.34,130227,3875,1.36,+24756,--36568,--5183,--5764,+10898,4.5,4.5,4.5,--5183,--36568,+24756,1.36,30080.0,30607.5,31180.0,-783.4278040473218,-813.8969712150501,30.4691671677283,30085.0,3,0.001680672268907557,0.001680672268907557,0,0,0.018487394957983128,0.001680672268907557,0,0,0.026890756302520913,0.001680672268907557,0,0,0.03697478991596648,0.001680672268907557,0,0
20211221,80,KR7000080002,하이트진로,KOSPI,29800,50,0.17,29500,29900,29500,143629,4261906650,70133611,2089981607800,29500,29900,29500,29800,50,0.17,143629,4262,1.36,+23362,--22685,--6786,--238,+1662,4.49,4.49,4.49,--6786,--22685,+23362,1.36,29960.0,30460.0,31126.923076923078,-773.4116383292276,-805.7999046378857,32.3882663086581,29965.0,3,0.016778523489932917,0.016778523489932917,0,0,0.02181208053691286,0.01342281879194629,0,0,0.03523489932885915,0.01342281879194629,0,0,0.03523489932885915,0.011744966442952975,0,0
20211222,80,KR7000080002,하이트진로,KOSPI,30300,500,1.68,29800,30350,29800,139164,4203144100,70133611,2125048413300,29800,30350,29800,30300,500,1.68,139164,4203,1.37,--45480,+33793,--70070,--3008,+16832,4.39,4.39,4.39,--70070,+33793,--45480,1.37,29960.0,30340.0,31096.296296296296,-716.8643673155748,-788.0127971734236,71.14842985784878,29905.0,3,-0.0033003300330033403,-0.0033003300330033403,0,0,0.008250825082508184,-0.0033003300330033403,0,0,0.018151815181518094,-0.0033003300330033403,0,0,0.018151815181518094,-0.004950495049504955,0,0
20211223,80,KR7000080002,하이트진로,KOSPI,30200,-100,-0.33,30450,30550,30100,126306,3815580100,70133611,2118035052200,30450,30550,30100,-30200,-100,-0.33,126306,3816,1.37,+42201,--30528,+282,--26715,--17216,4.39,4.39,4.39,+282,--30528,+42201,1.37,29980.0,30257.5,31064.285714285714,-672.3687633326153,-764.883990405262,92.51522707264667,30325.0,3,0.008278145695364225,0.008278145695364225,0,0,0.021523178807947074,0.008278145695364225,0,0,0.021523178807947074,-0.0016556291390728006,0,0,0.021523178807947074,-0.0016556291390728006,0,0
20211224,80,KR7000080002,하이트진로,KOSPI,30450,250,0.83,30200,30600,30200,138776,4223003650,70133611,2135568454950,30200,30600,30200,30450,250,0.83,138776,4223,1.35,--3017,--1228,--22700,+5202,+5481,4.36,4.36,4.36,--22700,--1228,--3017,1.35,30100.0,30232.5,31043.103448275862,-609.902193108559,-733.8876309459215,123.9854378373625,30075.0,3,0.003284072249589487,0.003284072249589487,0,0,0.013136288998357948,0.0016420361247948545,0,0,0.013136288998357948,-0.009852216748768461,0,0,0.013136288998357948,-0.009852216748768461,0,0
20211227,80,KR7000080002,하이트진로,KOSPI,30550,100,0.33,30450,30600,30300,115798,3529439950,70133611,2142581816050,30450,30600,30300,30550,100,0.33,115798,3529,1.34,+9109,--5102,--17287,--3115,--3017,4.34,4.34,4.34,--17287,--5102,+9109,1.34,30260.0,30245.0,31026.666666666668,-546.0334877408968,-696.3168023049166,150.28331456401975,30075.0,3,0.009819967266775809,0.009819967266775809,0,0,0.009819967266775809,-0.013093289689034338,0,0,0.009819967266775809,-0.013093289689034338,0,0,0.009819967266775809,-0.013093289689034338,0,0
20211228,80,KR7000080002,하이트진로,KOSPI,30850,300,0.98,30700,30900,30400,200037,6128008450,70133611,2163621899350,30700,30900,30400,30850,300,0.98,200037,6128,1.34,+2834,+9855,--205195,--9756,--11739,4.04,4.04,4.04,--205195,+9855,+2834,1.34,30470.0,30337.5,31020.967741935485,-465.8396759828611,-650.2213770405054,184.38170105764436,30605.0,3,-0.011345218800648316,-0.011345218800648316,0,0,-0.011345218800648316,-0.02269043760129663,0,0,-0.011345218800648316,-0.02269043760129663,0,0,-0.011345218800648316,-0.02269043760129663,0,0
20211229,80,KR7000080002,하이트진로,KOSPI,30500,-350,-1.13,30400,30700,30300,155521,4743384900,70133611,2139075135500,30400,30700,30300,-30500,-350,-1.13,155521,4743,1.35,+42917,--67105,+24264,+18466,+19920,4.08,4.08,4.08,+24264,--67105,+42917,1.35,30510.0,30392.5,31004.6875,-425.62128014984046,-605.3013576623725,179.68007751253208,30620.0,3,-0.011475409836065542,-0.011475409836065542,0,0,-0.011475409836065542,-0.011475409836065542,0,0,-0.011475409836065542,-0.011475409836065542,0,0,-0.011475409836065542,-0.011475409836065542,0,0
20211230,80,KR7000080002,하이트진로,KOSPI,30150,-350,-1.15,30300,30500,30050,127745,3857427900,70133611,2114528371650,30300,30500,30050,-30150,-350,-1.15,127745,3857,1.31,+78253,--50599,--11074,--14961,--28379,4.06,4.06,4.06,--11074,--50599,+78253,1.31,30500.0,30422.5,30978.78787878788,-417.1809839256748,-567.6772829150331,150.49629898935825,30450.0,3,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0
20211116,100,KR7000100008,유한양행,KOSPI,59900,-300,-0.5,59700,60400,59100,146918,8808636600,69972959,4191380244100,59700,60400,59100,-59900,-300,-0.5,146918,8809,0.64,--5968,+33969,--29778,+3259,--18712,17.85,17.85,17.85,--29778,+33969,--5968,0.64,59900.0,59900.0,59900.0,0.0,0.0,0.0,59230.0,-1,-0.013355592654423987,-0.013355592654423987,0,0,-0.0016694490818029983,-0.0016694490818029983,0,0,-0.005008347245408995,-0.005008347245408995,0,0,-0.035058430717863076,-0.035058430717863076,0,1
20211117,100,KR7000100008,유한양행,KOSPI,59100,-800,-1.34,59900,60300,59100,144670,8581553300,69972959,4135401876900,59900,60300,59100,-59100,-800,-1.34,144670,8582,0.64,+64975,--43715,--23049,+1418,--30754,17.82,17.82,17.82,--23049,--43715,+64975,0.64,59500.0,59500.0,59500.0,-63.81766381766647,-12.763532763533295,-51.05413105413318,59230.0,-1,-0.005076142131979711,-0.005076142131979711,0,0,0.01861252115059231,0.011844331641285955,0,0,0.010152284263959421,0.008460236886632888,0,0,-0.021996615905245376,-0.02368866328257191,0,0
20211118,100,KR7000100008,유한양행,KOSPI,58800,-300,-0.51,59100,59600,58800,144160,8524184000,69972959,4114409989200,59100,59600,58800,-58800,-300,-0.51,144160,8524,0.64,+40198,--2494,--41040,--28931,--37558,17.76,17.76,17.76,--41040,--2494,+40198,0.64,59266.666666666664,59266.666666666664,59266.666666666664,-137.02161508429708,-37.615149227686054,-99.40646585661102,59280.0,-1,0.017006802721088343,0.017006802721088343,0,0,0.023809523809523725,0.013605442176870763,0,0,0.015306122448979664,0.008503401360544283,0,0,0.022108843537415046,-0.018707482993197244,0,0
20211119,100,KR7000100008,유한양행,KOSPI,59800,1000,1.7,58800,60100,58800,115877,6915624700,69972959,4184382948200,58800,60100,58800,59800,1000,1.7,115877,6916,0.63,--23990,+13020,+11634,+15516,+9184,17.77,17.77,17.77,+11634,+13020,--23990,0.63,59400.0,59400.0,59400.0,-113.0415584973598,-52.700431081620806,-60.341127415738995,59280.0,-1,0.006688963210702337,0.006688963210702337,0,0,0.006688963210702337,-0.0033444816053511683,0,0,-0.0016722408026755842,-0.00836120401337792,0,0,0.008361204013378032,-0.03511705685618727,0,1
20211122,100,KR7000100008,유한양행,KOSPI,60200,400,0.67,59300,60700,59300,135640,8183295600,69972959,4212372131800,59300,60700,59300,60200,400,0.67,135640,8183,0.63,--14087,+28427,--9977,--14058,--17670,17.76,17.76,17.76,--9977,+28427,--14087,0.63,59560.0,59560.0,59560.0,-61.05671007743513,-54.37168688078368,-6.68502319665145,59370.0,-1,-0.009966777408637828,-0.009966777408637828,0,0,-0.00830564784053156,-0.014950166112956853,0,0,-0.00830564784053156,-0.021594684385382035,0,0,0.0016611295681063787,-0.0415282392026578,0,1
20211123,100,KR7000100008,유한양행,KOSPI,59600,-600,-1.0,59700,60200,59500,131164,7837568200,69972959,4170388356400,59700,60200,59500,-59600,-600,-1.0,131164,7838,0.63,+50392,--34840,--15083,+1042,--25431,17.74,17.74,17.74,--15083,--34840,+50392,0.63,59500.0,59566.666666666664,59566.666666666664,-67.49528513215773,-56.9964065310585,-10.498878601099236,59750.0,-1,0.001677852348993314,0.001677852348993314,0,0,0.001677852348993314,-0.005033557046979831,0,0,0.001677852348993314,-0.030201342281879207,0,1,0.04026845637583887,-0.03187919463087252,0,1
20211124,100,KR7000100008,유한양행,KOSPI,59700,100,0.17,59300,60400,59200,113404,6787682800,69972959,4177385652300,59300,60400,59200,59700,100,0.17,113404,6788,0.63,--2198,--1234,+3226,--10464,+4617,17.74,17.74,17.74,+3226,--1234,--2198,0.63,59620.0,59585.71428571428,59585.71428571428,-63.79336775187403,-58.35579877522161,-5.437568976652422,59750.0,-1,-0.00670016750418756,-0.00670016750418756,0,0,-0.00670016750418756,-0.01340033500837523,0,0,-0.00670016750418756,-0.03350083752093802,0,1,0.04355108877721947,-0.03350083752093802,0,1
20211125,100,KR7000100008,유한양행,KOSPI,59300,-400,-0.67,59400,59900,59300,101972,6060813500,69972959,4149396468700,59400,59900,59300,-59300,-400,-0.67,101972,6061,0.63,+27656,--27882,+940,+1374,--486,17.74,17.74,17.74,+940,--27882,+27656,0.63,59720.0,59550.0,59550.0,-92.07484709493292,-65.09960843916387,-26.975238655769047,59750.0,-1,0.0,0.0,0,0,0.0,-0.025295109612141653,0,0,0.013490725126475533,-0.026981450252951067,0,0,0.07757166947723437,-0.026981450252951067,1,0
20211126,100,KR7000100008,유한양행,KOSPI,59300,0,0.0,59100,60200,59100,118506,7061267000,69972959,4149396468700,59100,60200,59100,59300,0,0.0,118506,7061,0.63,+5688,+2552,--9090,--3890,+1936,17.73,17.73,17.73,--9090,+2552,+5688,0.63,59620.0,59522.22222222222,59522.22222222222,-113.18341527431039,-74.71636980619319,-38.467045468117206,59750.0,-1,-0.006745362563237767,-0.006745362563237767,0,0,-0.006745362563237767,-0.026981450252951067,0,0,0.01686340640809436,-0.026981450252951067,0,0,0.07757166947723437,-0.026981450252951067,1,0
20211129,100,KR7000100008,유한양행,KOSPI,58900,-400,-0.67,59200,60400,58700,174155,10312443100,69972959,4121407285100,59200,60400,58700,-58900,-400,-0.67,174155,10312,0.64,+13525,+26792,--40172,--19865,--38578,17.67,17.67,17.67,--40172,+26792,+13525,0.64,59360.0,59460.0,59460.0,-160.34045968523424,-91.84118778200141,-68.49927190323282,59700.0,0,-0.018675721561969394,-0.018675721561969394,0,0,0.02037351443123936,-0.02037351443123936,0,0,0.02376910016977929,-0.02037351443123936,0,0,0.08488964346349737,-0.02037351443123936,1,0
20211130,100,KR7000100008,유한양행,KOSPI,57800,-1100,-1.87,59000,59400,57600,336631,19540690600,69972959,4044437030200,59000,59400,57600,-57800,-1100,-1.87,336631,19541,0.63,+66912,--33050,--40710,--37472,--33296,17.62,17.62,17.62,--40710,--33050,+66912,0.63,59000.0,59309.09090909091,59309.09090909091,-283.2089080449514,-130.11473183459142,-153.09417621035996,59770.0,0,-0.0017301038062284002,-0.0017301038062284002,0,0,0.04325259515570945,-0.0017301038062284002,0,0,0.0726643598615917,-0.0017301038062284002,1,0,0.10726643598615926,-0.0017301038062284002,1,0
20211201,100,KR7000100008,유한양행,KOSPI,57700,-100,-0.17,58200,58500,57100,199636,11530996000,69972959,4037439734300,58200,58500,57100,-57700,-100,-0.17,199636,11531,0.62,+42165,--29554,--14640,--28216,--49011,17.6,17.6,17.6,--14640,--29554,+42165,0.62,58600.0,59175.0,59175.0,-384.2231179217051,-180.9364090520142,-203.28670886969093,59620.0,-1,0.04159445407279039,0.04159445407279039,0,0,0.045060658578856216,0.04159445407279039,0,0,0.07972270363951472,0.04159445407279039,1,0,0.1109185441941074,0.04159445407279039,1,0
20211202,100,KR7000100008,유한양행,KOSPI,60100,2400,4.16,57500,60200,57300,226461,13375188500,69972959,4205374835900,57500,60200,57300,60100,2400,4.16,226461,13375,0.61,--61358,+32524,+23885,+15038,+37467,17.63,17.63,17.63,+23885,+32524,--61358,0.61,58760.0,59246.153846153844,59246.153846153844,-267.5337026636553,-198.25586777434245,-69.27783488931283,59620.0,-1,0.0033277870216306127,0.0033277870216306127,0,0,0.03161397670549082,0.0,0,0,0.06322795341098164,0.0,1,0,0.07653910149750409,0.0,1,0
20211203,100,KR7000100008,유한양행,KOSPI,60300,200,0.33,59400,60700,59200,172590,10377787900,69972959,4219369427700,59400,60700,59200,60300,200,0.33,172590,10378,0.62,--27732,+37547,+19599,--12248,--2777,17.66,17.66,17.66,+19599,+37547,--27732,0.62,58960.0,59321.42857142857,59321.42857142857,-157.10713854223286,-190.02612192792054,32.91898338568768,59620.0,2,-0.0033167495854062867,-0.0033167495854062867,0,0,0.03316749585406309,-0.0033167495854062867,0,0,0.05970149253731338,-0.0033167495854062867,1,0,0.08789386401326693,-0.0033167495854062867,1,0
